return_id,order_id,product_name,customer_name,return_date,reason,quantity_returned,refund_amount
RET-36071,CA-2016-134222,GBC Standard Therm-A-Bind Covers,Nick Zandusky,2025-01-08,Wrong Item,6,40.44
RET-79514,CA-2017-141439,Innergie mMini Combo Duo USB Travel Charging Kit,Tonja Turnell,2026-05-10,Damaged,1,40.85
RET-24662,CA-2017-118003,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Doug O'Connell,2026-05-26,Not as Described,1,11.66
RET-41571,CA-2017-141663,Translucent Push Pins by OIC,Dave Poirier,2025-10-12,Defective,3,4.03
RET-19071,CA-2014-144974,"Acco Six-Outlet Power Strip, 4' Cord Length",Craig Molinari,2023-03-03,Defective,1,6.53
RET-72296,CA-2017-107727,Easy-staple paper,Matt Abelman,2026-04-15,Defective,1,8.11
RET-89507,US-2017-101784,"Global Task Chair, Black",Patrick O'Brill,2025-12-14,Changed Mind,2,73.73
RET-62296,CA-2017-118885,"Global High-Back Leather Tilter, Burgundy",James Galang,2026-06-07,Not as Described,2,185.49
RET-39451,CA-2017-138156,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Magdelene Morse,2025-07-28,Damaged,2,121.63
RET-40161,CA-2017-143378,Peel-Off China Markers,Justin Ritter,2026-03-04,Defective,1,7.29
RET-92719,US-2017-112928,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Barry Blumstein,2025-11-11,Damaged,1,2.85
RET-53309,US-2014-150532,Eldon Fold 'N Roll Cart System,Philip Brown,2022-12-24,Damaged,1,10.97
RET-73624,CA-2015-168760,Kensington 6 Outlet Guardian Standard Surge Protector,Muhammed MacIntyre,2024-03-12,Wrong Item,1,17.52
RET-84847,CA-2015-127453,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Jay Kimmel,2024-06-08,Defective,2,41.96
RET-63354,CA-2017-114055,14-7/8 x 11 Blue Bar Computer Printout Paper,Mick Hernandez,2026-06-12,Wrong Item,1,45.97
RET-56438,CA-2017-155698,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Victoria Brennan,2025-08-14,Changed Mind,1,9.64
RET-17100,CA-2017-121615,Xerox 1971,Daniel Lacy,2026-04-19,Damaged,2,8.33
RET-24322,CA-2016-106397,Boston KS Multi-Size Manual Pencil Sharpener,Max Jones,2024-12-11,Wrong Item,2,43.48
RET-28373,CA-2016-100244,Newell 343,Greg Maxwell,2025-03-01,Changed Mind,2,5.33
RET-19880,CA-2014-144624,Apple iPhone 5,John Murray,2023-04-27,Changed Mind,3,1739.97
RET-22833,CA-2016-139010,Avery Heavy-Duty EZD  Binder With Locking Rings,Matthew Clasen,2024-08-18,Damaged,7,30.35
RET-40982,US-2015-156797,AT&T 841000 Phone,Philisse Overcash,2024-02-03,Wrong Item,1,68.57
RET-62565,CA-2016-131737,Electrix Halogen Magnifier Lamp,Gary Zandusky,2024-09-02,Damaged,4,696.58
RET-61173,CA-2017-120222,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Lauren Leatherbury,2025-10-03,Not as Described,2,10.17
RET-82845,CA-2016-162187,"Elite 5"" Scissors",Noel Staavos,2025-06-08,Changed Mind,2,11.59
RET-17665,CA-2015-130974,Logitech G35 7.1-Channel Surround Sound Headset,Matt Abelman,2024-05-04,Defective,1,111.71
RET-17492,US-2016-162026,Xerox 1925,Joel Eaton,2025-04-03,Damaged,1,29.42
RET-79615,CA-2015-138009,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,Sylvia Foulston,2024-05-20,Wrong Item,4,400.0
RET-34356,CA-2016-158302,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Julia Barnett,2025-05-12,Damaged,3,8.64
RET-40828,CA-2017-157987,Xerox 1962,Ann Chong,2026-02-24,Changed Mind,1,4.0
RET-87924,CA-2017-102099,Xerox 213,Emily Phan,2026-05-24,Damaged,5,27.52
RET-86503,CA-2017-133823,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 Â¾Â x 11Â",Liz Pelletier,2025-11-02,Defective,1,5.52
RET-36772,US-2016-142251,Xerox 1898,Frank Olsen,2025-04-19,Not as Described,3,15.82
RET-98039,US-2017-129441,Tenex Chairmats For Use With Carpeted Floors,Jasper Cacioppo,2026-02-17,Not as Described,2,28.1
RET-19508,CA-2014-164315,Euro-Pro Shark Turbo Vacuum,Rob Dowd,2022-09-19,Damaged,3,91.62
RET-37938,CA-2017-137421,Avery Hi-Liter Smear-Safe Highlighters,Ashley Jarboe,2026-03-23,Defective,1,3.81
RET-19016,CA-2017-112172,Plymouth Boxed Rubber Bands by Plymouth,Muhammed MacIntyre,2025-11-21,Wrong Item,1,4.65
RET-81200,CA-2017-157252,Global Deluxe Steno Chair,Cynthia Voltz,2025-07-04,Not as Described,2,115.22
RET-97538,CA-2017-114055,Xerox 1915,Mick Hernandez,2026-06-16,Defective,6,569.83
RET-27601,US-2014-112914,O'Sullivan Living Dimensions 5-Shelf Bookcases,Michelle Tran,2023-03-09,Not as Described,1,148.43
RET-30374,CA-2015-137974,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Lauren Leatherbury,2023-09-22,Not as Described,2,110.29
RET-54942,CA-2015-101868,Logitech Keyboard K120,Max Jones,2023-11-21,Wrong Item,5,61.14
RET-76244,CA-2016-167759,Plantronics Encore H101 Dual EarpiecesÂ Headset,Craig Carreira,2024-08-27,Changed Mind,3,130.88
RET-65518,CA-2015-119592,3-ring staple pack,Muhammed MacIntyre,2024-05-25,Not as Described,1,1.54
RET-27146,CA-2015-149342,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Theresa Swint,2023-09-24,Not as Described,1,86.0
RET-66057,CA-2017-148446,Bretford ÂJust In TimeÂ Height-Adjustable Multi-Task Work Tables,Michael Chen,2026-05-18,Defective,4,1519.9
RET-29536,CA-2017-142867,GBC Plasticlear Binding Covers,Philisse Overcash,2025-08-20,Defective,1,1.87
RET-29410,US-2016-115819,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Jas O'Carroll,2024-09-23,Changed Mind,3,15.62
RET-15229,CA-2016-107146,"Global Manager's Adjustable Task Chair, Storm",Lena Creighton,2024-11-24,Not as Described,1,104.07
RET-56357,CA-2017-130771,Cisco SPA301,Laura Armstrong,2026-01-07,Defective,1,116.48
RET-30257,US-2017-162670,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Monica Federle,2026-06-22,Wrong Item,4,366.03
RET-33206,CA-2016-100587,Xerox 221,Sara Luxemburg,2025-06-09,Changed Mind,1,6.45
RET-53540,CA-2017-130351,Kensington 6 Outlet Guardian Standard Surge Protector,Rob Beeghly,2026-05-08,Changed Mind,1,19.4
RET-24168,CA-2015-150770,GBC Linen Binding Covers,Lena Cacioppo,2023-10-31,Changed Mind,1,21.15
RET-39154,CA-2017-157273,Mitel 5320 IP Phone VoIP phone,Sam Zeldin,2025-07-30,Wrong Item,1,146.92
RET-39831,CA-2015-126557,GE 2-Jack Phone Line Splitter,Rob Lucas,2024-01-10,Wrong Item,4,573.43
RET-53025,US-2017-139969,Office Star Flex Back Scooter Chair with White Frame,Art Ferguson,2026-04-22,Not as Described,3,195.45
RET-46585,CA-2014-100678,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Kunst Miller,2022-10-18,Not as Described,1,75.49
RET-80282,US-2014-133130,DMI Arturo Collection Mission-style Design Wood Chair,Thea Hendricks,2023-03-22,Not as Described,5,531.41
RET-44237,CA-2014-136567,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Penelope Sewall,2023-05-23,Wrong Item,1,312.75
RET-88193,CA-2016-158435,Acme Forged Steel Scissors with Black Enamel Handles,Arthur Gainer,2024-11-07,Changed Mind,3,22.56
RET-77033,CA-2015-125934,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Skye Norling,2024-02-25,Damaged,3,73.89
RET-15817,CA-2017-126046,Avery 476,Julie Creighton,2026-04-18,Changed Mind,3,10.38
RET-19171,CA-2017-140802,Xerox 230,Katherine Nockton,2025-09-24,Not as Described,2,9.05
RET-26334,CA-2017-165029,Newell 347,Adam Hart,2026-05-18,Not as Described,2,7.98
RET-52753,CA-2017-163139,Safco Industrial Shelving,Craig Carreira,2026-05-20,Changed Mind,2,137.86
RET-35144,CA-2015-127327,"Global Fabric Manager's Chair, Dark Gray",Pauline Webber,2023-07-28,Changed Mind,1,82.78
RET-32810,CA-2014-127131,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Harold Ryan,2023-05-18,Defective,2,184.83
RET-10053,US-2016-114013,Okidata MB491 Multifunction Printer,Stewart Carmichael,2024-09-03,Not as Described,2,263.84
RET-86019,US-2014-159618,Bestar Classic Bookcase,Darren Budd,2023-04-24,Defective,1,60.24
RET-67954,CA-2014-169775,Jiffy Padded Mailers with Self-Seal Closure,Ryan Akin,2023-02-21,Wrong Item,2,26.62
RET-32241,CA-2014-156587,"Global Push Button Manager's Chair, Indigo",Aaron Bergman,2022-08-26,Damaged,1,46.7
RET-40784,CA-2015-120677,Hon Pagoda Stacking Chairs,Bill Donatelli,2023-11-12,Not as Described,6,1576.67
RET-16057,CA-2014-167199,Global Deluxe High-Back Manager's Chair,Maria Etezadi,2022-06-16,Wrong Item,4,948.85
RET-19545,CA-2017-121048,GE 30524EE4,Toby Carlisle,2026-01-01,Changed Mind,3,456.24
RET-60328,CA-2017-107209,"Global Value Mid-Back Manager's Chair, Gray",Joni Wasserman,2026-01-12,Changed Mind,2,91.94
RET-10726,CA-2016-157868,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Matt Collister,2025-06-07,Damaged,2,5.89
RET-77889,CA-2016-142902,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Ben Peterman,2025-03-11,Changed Mind,1,12.85
RET-25906,CA-2017-145275,Avery 499,Amy Hunt,2025-09-06,Changed Mind,3,12.7
RET-83259,CA-2015-144253,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Alan Schoenberger,2023-10-11,Defective,2,25.02
RET-76162,CA-2016-122903,Xerox 1910,Laura Armstrong,2024-11-09,Changed Mind,2,88.64
RET-72216,US-2016-122182,Plantronics Audio 478 Stereo USB Headset,Bryan Davis,2024-09-08,Changed Mind,1,39.17
RET-46347,CA-2015-105627,Deflect-o Glass Clear Studded Chair Mats,Dana Kaydos,2023-08-19,Defective,2,120.38
RET-67654,CA-2016-123050,Logitech Trackman Marble Mouse,Becky Castell,2024-09-22,Damaged,3,76.28
RET-54020,CA-2014-152618,Xerox 1963,Rick Bensley,2022-09-08,Not as Described,2,7.15
RET-40311,CA-2016-127698,Jabra Supreme Plus Driver EditionÂ Headset,Mike Vittorini,2025-05-21,Changed Mind,2,158.9
RET-18418,CA-2017-126914,Global Executive Mid-Back Manager's Chair,Joe Elijah,2025-12-10,Changed Mind,1,219.12
RET-64496,CA-2014-159800,Micropad Numeric Keypads,Sheri Gordon,2023-05-14,Damaged,3,54.48
RET-86556,CA-2015-144386,"Wilson Jones 1"" Hanging DublLock Ring Binders",Grant Thornton,2024-04-14,Damaged,4,14.83
RET-10772,CA-2015-160696,Assorted Color Push Pins,Cyma Kinney,2024-03-07,Not as Described,5,6.34
RET-64921,CA-2015-102855,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Jennifer Ferguson,2023-09-17,Defective,4,155.27
RET-45774,CA-2017-145233,AT&T SB67148 SynJ,Dianna Vittorini,2026-05-27,Changed Mind,1,47.39
RET-97670,CA-2017-129294,"Dual Level, Single-Width Filing Carts",Ken Dana,2025-09-03,Changed Mind,1,136.11
RET-26728,CA-2017-121580,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Maris LaWare,2025-11-24,Defective,1,7.73
RET-87580,CA-2015-130785,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Arthur Gainer,2024-02-25,Defective,1,100.92
RET-66179,CA-2016-130820,Hon Racetrack Conference Tables,Odella Nelson,2025-05-09,Wrong Item,1,128.65
RET-44099,CA-2016-163594,Aluminum Screw Posts,Jason Fortune-,2024-10-12,Changed Mind,2,20.42
RET-54236,US-2017-113201,Xerox 1919,Thomas Thornton,2025-12-13,Changed Mind,2,73.04
RET-20735,CA-2017-142342,Sterilite Show Offs Storage Containers,Anthony Johnson,2025-12-28,Changed Mind,2,8.98
RET-55870,CA-2015-117800,Polycom VoiceStation 500 ConferenceÂ phone,Tracy Hopkins,2024-02-24,Wrong Item,1,294.94
RET-95426,CA-2017-161018,9-3/4 Diameter Round Wall Clock,Parhena Norris,2026-05-02,Damaged,1,13.19
RET-36130,US-2016-157728,Panasonic KX TS208W Corded phone,Ryan Crowe,2025-03-21,Damaged,1,48.5
RET-72070,CA-2015-168634,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Art Ferguson,2024-05-28,Damaged,1,3.3
RET-43586,CA-2014-131947,Newell 313,Joseph Airdo,2023-03-10,Not as Described,1,2.34
RET-25012,CA-2016-103730,Artistic Insta-Plaque,Steven Cartwright,2024-11-20,Wrong Item,3,43.34
RET-50888,CA-2016-145625,LogitechÂ P710e Mobile Speakerphone,Kelly Collister,2025-02-23,Defective,2,471.59
RET-35995,CA-2015-145394,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Matt Connell,2024-05-10,Damaged,2,30.34
RET-41830,US-2015-150630,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Tracy Blumstein,2024-03-09,Damaged,6,6.63
RET-88697,CA-2014-111773,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",Jim Karlsson,2022-12-24,Damaged,2,9.0
RET-55508,CA-2016-161676,"Elite 5"" Scissors",Jennifer Patt,2025-01-15,Defective,5,32.33
RET-76317,CA-2016-156265,Nortel Business Series Terminal T7208 Digital phone,Barry FranzÃ¶sisch,2025-01-18,Not as Described,3,291.58
RET-74251,CA-2015-153794,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Sean Braxton,2024-02-14,Damaged,7,235.02
RET-70258,CA-2014-164973,"Trav-L-File Heavy-Duty Shuttle II, Black",Nathan Mautz,2023-04-20,Wrong Item,1,40.39
RET-95256,CA-2015-127173,GBC Imprintable Covers,Gene McClure,2024-03-13,Not as Described,3,24.95
RET-70931,CA-2014-115791,AT&T 841000 Phone,Delfina Latchford,2022-07-08,Changed Mind,3,118.6
RET-42177,CA-2015-128608,SanDisk Cruzer 4 GB USB Flash Drive,Cindy Schnelling,2023-07-11,Damaged,2,8.98
RET-70910,CA-2017-121580,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,Maris LaWare,2025-11-09,Defective,2,394.82
RET-13761,CA-2016-152814,Xerox 1881,Erica Hernandez,2024-10-20,Changed Mind,3,25.81
RET-37802,CA-2017-136007,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Ann Chong,2025-08-22,Not as Described,3,36.11
RET-88139,US-2014-148838,Balt Solid Wood Round Tables,Christine Phan,2022-09-14,Not as Described,3,697.65
RET-35042,CA-2017-117632,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Charles Sheldon,2025-11-01,Damaged,1,51.58
RET-41499,US-2015-150630,Poly String Tie Envelopes,Tracy Blumstein,2024-02-27,Changed Mind,2,2.93
RET-12260,CA-2016-141957,"Wilson Jones 1"" Hanging DublLock Ring Binders",Jason Gross,2025-01-13,Damaged,6,8.54
RET-41890,CA-2015-130022,Peel-Off China Markers,Julie Kriz,2024-01-22,Not as Described,1,8.75
RET-79588,US-2015-150630,Avery Recycled Flexi-View Covers for Binding Systems,Tracy Blumstein,2024-03-12,Not as Described,2,8.6
RET-69473,CA-2016-107615,Logitech ClearChat Comfort/USB Headset H390,Robert Barroso,2024-09-07,Not as Described,2,50.99
RET-35242,US-2017-105998,Chromcraft Round Conference Tables,Clay Rozendal,2026-04-15,Not as Described,5,589.87
RET-73464,CA-2017-158876,Xerox 1901,Aimee Bixby,2026-04-25,Not as Described,2,7.08
RET-35443,CA-2017-127782,Wilson Electronics DB Pro Signal Booster,Thea Hudgings,2026-04-28,Not as Described,3,641.89
RET-11854,CA-2017-119004,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Janet Martin,2026-05-03,Defective,6,46.46
RET-17146,CA-2015-109512,Staple envelope,Luke Foster,2023-08-12,Defective,2,15.83
RET-74340,CA-2016-125164,Canvas Sectional Post Binders,Sally Hughsby,2025-04-22,Damaged,1,18.89
RET-71524,CA-2016-119186,Logitech G13 Programmable Gameboard with LCD Display,Maurice Satty,2024-11-25,Changed Mind,1,58.54
RET-16734,CA-2016-159016,Apple iPhone 5,Karen Ferguson,2024-08-27,Not as Described,6,2610.36
RET-18564,CA-2017-119746,Contemporary Wood/Metal Frame,Christopher Martinez,2026-05-23,Changed Mind,1,5.32
RET-99974,US-2015-165449,SanDisk Cruzer 8 GB USB Flash Drive,Anne Pryor,2024-05-10,Damaged,1,6.22
RET-49824,CA-2014-123477,Fellowes Mighty 8 Compact Surge Protector,David Wiener,2022-06-25,Damaged,2,31.21
RET-64548,US-2017-133361,Avery 505,Anthony Jacobs,2025-10-24,Defective,1,13.49
RET-78494,CA-2016-159009,Global Deluxe Steno Chair,Dave Poirier,2025-03-17,Changed Mind,3,156.14
RET-87139,US-2017-139955,Staple remover,Charles McCrossin,2026-03-17,Changed Mind,1,1.5
RET-23006,CA-2017-101959,Pressboard Hanging Data Binders for Unburst Sheets,Duane Benoit,2025-08-09,Wrong Item,1,4.54
RET-20641,CA-2017-125199,Boston 16801 Nautilus Battery Pencil Sharpener,Harry Marie,2026-04-11,Wrong Item,2,30.04
RET-30517,CA-2014-105165,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Sam Zeldin,2023-02-17,Damaged,1,182.8
RET-71592,CA-2015-115945,"GBC Velobind Prepunched Cover Sets, Regency Series",Alan Barnes,2023-12-11,Not as Described,2,55.49
RET-47056,US-2014-154655,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Barry Pond,2023-03-16,Changed Mind,1,9.54
RET-91927,CA-2015-132374,Newell 34,Penelope Sewall,2023-07-27,Defective,2,39.08
RET-81376,CA-2015-154956,Mitel MiVoice 5330e IP Phone,Irene Maddox,2023-12-28,Wrong Item,2,486.75
RET-28643,CA-2014-120096,Fellowes Mighty 8 Compact Surge Protector,Katrina Edelman,2022-12-27,Damaged,1,15.92
RET-87993,CA-2016-137239,Avery Durable Poly Binders,Craig Reiter,2025-01-26,Defective,1,1.59
RET-49857,US-2017-122672,"Carina 42""Hx23 3/4""W Media Storage Unit",Henry Goldwyn,2026-04-16,Changed Mind,2,106.88
RET-67377,CA-2016-124254,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",Thomas Boland,2024-09-23,Damaged,3,9.33
RET-52247,CA-2015-150441,Avery Round Ring Poly Binders,Ralph Arnett,2024-02-04,Defective,1,2.78
RET-98381,CA-2017-140536,Newell 326,Tom Ashbrook,2025-09-15,Defective,1,1.44
RET-98117,CA-2017-147354,Hewlett Packard 310 Color Digital Copier,Karl Braun,2025-08-30,Not as Described,1,239.97
RET-32962,CA-2016-120824,Xerox 1975,Arthur Wiediger,2024-12-03,Changed Mind,1,4.94
RET-33788,CA-2017-107244,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Allen Goldenen,2026-02-26,Defective,4,19.43
RET-21959,US-2016-156986,Clear Mylar Reinforcing Strips,Zuschuss Carroll,2024-09-05,Changed Mind,3,16.2
RET-97835,US-2014-113124,Space Solutions Commercial Steel Shelving,Nat Carroll,2022-09-13,Damaged,2,112.06
RET-74942,US-2015-103471,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Jim Radford,2024-06-23,Not as Described,2,145.99
RET-82102,CA-2015-141810,GBC Premium Transparent Covers with Diagonal Lined Pattern,Barry Blumstein,2024-04-26,Damaged,4,16.16
RET-52372,US-2017-123862,Tennsco Commercial Shelving,Jamie Frazer,2025-06-24,Damaged,1,17.55
RET-10150,CA-2017-137463,Avery 475,Kalyca Meade,2026-06-12,Defective,2,28.8
RET-77952,CA-2016-144015,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 Â¾Â x 11Â",Adam Hart,2024-12-13,Not as Described,2,10.12
RET-16764,CA-2017-134495,Staple holder,Barry FranzÃ¶sisch,2025-09-23,Wrong Item,2,12.83
RET-47752,CA-2016-123274,Carina Double Wide Media Storage Towers in Natural & Black,Greg Tran,2024-07-30,Changed Mind,3,200.72
RET-92578,CA-2015-117884,"Iris 3-Drawer Stacking Bin, Black",Debra Catini,2023-09-16,Defective,8,110.2
RET-50730,CA-2015-101910,"Situations Contoured Folding Chairs, 4/Set",Carlos Daly,2024-05-25,Defective,2,106.98
RET-24871,CA-2015-131884,Polycom SoundStation2 EX ConferenceÂ phone,Dennis Kane,2024-05-09,Changed Mind,2,397.81
RET-75323,CA-2016-159142,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Maria Etezadi,2024-09-10,Not as Described,3,26.88
RET-73242,CA-2017-102204,HON 5400 Series Task Chairs for Big and Tall,Caroline Jumper,2025-10-20,Changed Mind,3,1485.68
RET-60277,CA-2015-130365,"Global Armless Task Chair, Royal Blue",Zuschuss Carroll,2023-10-05,Wrong Item,2,77.71
RET-46208,CA-2016-104276,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Herbert Flentye,2025-05-19,Changed Mind,1,113.58
RET-47072,CA-2015-136658,Manco Dry-Lighter Erasable Highlighter,Bobby Odegard,2024-02-23,Not as Described,2,5.86
RET-68529,CA-2014-127691,Logitech G602 Wireless Gaming Mouse,Erin Mull,2023-01-20,Defective,2,155.67
RET-81228,CA-2016-107104,Belkin F9S820V06 8 Outlet Surge,Maribeth Schnelling,2025-05-14,Changed Mind,2,56.29
RET-41300,CA-2017-102337,Global Super Steno Chair,Shirley Daniels,2025-11-30,Defective,3,196.3
RET-63841,CA-2015-136735,Airmail Envelopes,Helen Andreada,2024-01-10,Damaged,1,81.51
RET-59968,CA-2015-121188,Eldon Wave Desk Accessories,Cassandra Brandow,2024-02-10,Changed Mind,2,3.91
RET-74923,CA-2014-160262,Xerox 1909,Thomas Seio,2022-12-03,Damaged,3,78.84
RET-53515,US-2014-102715,Logitech Wireless Anywhere Mouse MX for PC and Mac,Jay Kimmel,2022-09-18,Damaged,5,238.3
RET-69890,CA-2017-164756,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Saphhira Shifley,2026-03-20,Damaged,8,78.45
RET-95823,CA-2016-130946,Global Chrome Stack Chair,Zuschuss Carroll,2024-10-04,Wrong Item,2,42.33
RET-44737,CA-2016-116232,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Amy Cox,2025-02-27,Not as Described,2,15.84
RET-20527,CA-2015-145184,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",Justin Deggeller,2024-05-19,Not as Described,3,92.32
RET-92155,CA-2014-146969,"Fellowes Mobile File Cart, Black",Arthur Prichep,2023-03-30,Changed Mind,1,61.61
RET-40771,CA-2017-143567,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Thomas Boland,2026-05-02,Not as Described,1,225.31
RET-22903,CA-2017-104024,Newell 323,Michael Dominguez,2026-02-08,Damaged,6,6.6
RET-13794,CA-2015-105158,Longer-Life Soft White Bulbs,Sung Pak,2024-02-22,Damaged,1,2.89
